confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.8430379746835444,0.3933933933933934,0.7117117117117117,333
0.3,0.6784810126582278,0.4552238805970149,0.7425373134328358,268
0.4,0.5139240506329114,0.5073891625615764,0.7684729064039408,203
0.5,0.389873417721519,0.5974025974025974,0.8116883116883117,154
0.6,0.3012658227848101,0.6554621848739496,0.8571428571428571,119
0.7,0.20253164556962025,0.7125,0.8875,80
0.8,0.14936708860759493,0.711864406779661,0.9152542372881356,59
0.9,0.07088607594936709,0.7142857142857143,0.8928571428571429,28
