confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.9050632911392406,0.45454545454545453,0.7902097902097902,143
0.3,0.620253164556962,0.5204081632653061,0.8163265306122449,98
0.4,0.44936708860759494,0.5774647887323944,0.8450704225352113,71
0.5,0.310126582278481,0.673469387755102,0.8979591836734694,49
0.6,0.23417721518987342,0.6756756756756757,0.918918918918919,37
0.7,0.14556962025316456,0.6956521739130435,0.9130434782608695,23
0.8,0.10126582278481013,0.75,1.0,16
0.9,0.02531645569620253,0.5,1.0,4
