model,confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
Light V2 Fine-tuned,0.5,0.245722433460076,0.2224371373307543,0.6266924564796905,517
Light V2 Scratch,0.5,0.2015209125475285,0.1650943396226415,0.5330188679245284,424
Transformer,0.5,0.2143536121673003,0.1419068736141907,0.3991130820399113,451
Light V2 Fine-tuned,0.7,0.1592205323193916,0.1761194029850746,0.6268656716417911,335
Light V2 Scratch,0.7,0.1454372623574144,0.1470588235294117,0.5392156862745098,306
Transformer,0.7,0.0988593155893536,0.1394230769230769,0.4038461538461538,208
