confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.5674904942965779,0.2018425460636516,0.5452261306532663,1194
0.3,0.4130228136882129,0.22094361334867663,0.5983889528193326,869
0.4,0.31368821292775667,0.22121212121212122,0.6121212121212121,660
0.5,0.24572243346007605,0.22243713733075435,0.6266924564796905,517
0.6,0.1991444866920152,0.1957040572792363,0.6109785202863962,419
0.7,0.15922053231939162,0.1761194029850746,0.6268656716417911,335
0.8,0.13688212927756654,0.14583333333333334,0.6180555555555556,288
0.9,0.10456273764258556,0.10454545454545454,0.6090909090909091,220
