temperature,val_nll,val_top1_accuracy
0.5,7.241765022277832,0.16650717703349283
0.6,6.278560638427734,0.16650717703349283
0.7,5.660089492797852,0.16650717703349283
0.8,5.265024185180664,0.16650717703349283
0.9,5.022575855255127,0.16650717703349283
1.0,4.886906147003174,0.16650717703349283
1.1,4.826364517211914,0.16650717703349283
1.2000000000000002,4.818397521972656,0.16650717703349283
1.3,4.84667444229126,0.16650717703349283
1.4,4.899209499359131,0.16650717703349283
1.5,4.967144012451172,0.16650717703349283
1.6,5.043987274169922,0.16650717703349283
1.7000000000000002,5.125108242034912,0.16650717703349283
1.8,5.2073259353637695,0.16650717703349283
1.9000000000000001,5.288557052612305,0.16650717703349283
2.0,5.367508888244629,0.16650717703349283
2.1,5.443434715270996,0.16650717703349283
2.2,5.515956401824951,0.16650717703349283
2.3,5.584926128387451,0.16650717703349283
2.4000000000000004,5.65034818649292,0.16650717703349283
2.5,5.712314128875732,0.16650717703349283
2.6,5.770966053009033,0.16650717703349283
2.7,5.826473236083984,0.16650717703349283
2.8000000000000003,5.879018306732178,0.16650717703349283
2.9000000000000004,5.928781509399414,0.16650717703349283
3.0,5.9759440422058105,0.16650717703349283
