version,model,test_top1_accuracy,test_top3_accuracy,test_top5_accuracy,test_macro_f1,best_val_f1,best_val_top5,source
Light V2,WLASL2000 Light V2 Fine-tuned From WLASL1000,0.1587452471482889,0.3507604562737642,0.4287072243346007,0.1168813492063492,0.1225697686482,0.4226145039077933,E:\Be_My_Ear\models\ASL\WLASL2000\light_v2_finetuned_from_wlasl1000_wlasl2000_result_summary.csv
Light V3,WLASL2000 Light V3 Two-Stage Fine-tuned From WLASL1000,0.15066539923954372,0.33127376425855515,0.41064638783269963,0.11423928571428571,0.12566270239289296,0.41211832070168647,E:\Be_My_Ear\models\ASL\WLASL2000\light_v3_two_stage_finetuned_from_wlasl1000_wlasl2000_result_summary.csv
