dataset,model,clean_samples,classes,test_samples,input_shape,test_top1_accuracy,test_top3_accuracy,test_top5_accuracy,test_macro_f1,best_val_f1,best_val_top5,checkpoint_epoch,model_path,source_file
WLASL2000,WLASL2000 Light V2 Fine-tuned From WLASL1000,11980,2000,2104,"(60, 516)",0.1587452471482889,0.3507604562737642,0.4287072243346007,0.1168813492063492,0.1225697686482,0.4226145039077933,24,E:\Be_My_Ear\models\ASL\WLASL2000\light_v2_finetuned_from_wlasl1000_wlasl2000.pt,E:\Be_My_Ear\models\ASL\WLASL2000\light_v2_finetuned_from_wlasl1000_wlasl2000_result_summary.csv
WLASL2000,WLASL2000 Light V2 From Scratch,11980,2000,2104,"(60, 516)",0.116444866920152,0.2637832699619772,0.3284220532319392,0.0827749999999999,0.0840243844016479,0.3257633588696254,69,E:\Be_My_Ear\models\ASL\WLASL2000\light_v2_scratch_wlasl2000.pt,E:\Be_My_Ear\models\ASL\WLASL2000\light_v2_scratch_wlasl2000_result_summary.csv
WLASL2000,WLASL2000 Small Transformer Encoder,11980,2000,2104,"(60, 516)",0.0979087452471483,0.216254752851711,0.2813688212927757,0.0684952380952381,0.0740527218142912,0.2857142926539693,49,E:\Be_My_Ear\models\ASL\WLASL2000\small_transformer_wlasl2000.pt,E:\Be_My_Ear\models\ASL\WLASL2000\small_transformer_wlasl2000_result_summary.csv
