confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.3255703422053232,0.2029197080291971,0.5912408759124088,685
0.3,0.22718631178707224,0.1799163179916318,0.6213389121338913,478
0.4,0.17633079847908745,0.15633423180592992,0.6145552560646901,371
0.5,0.14163498098859315,0.12080536912751678,0.6140939597315436,298
0.6,0.11596958174904944,0.10245901639344263,0.5901639344262295,244
0.7,0.08317490494296578,0.08571428571428572,0.5828571428571429,175
0.8,0.05180608365019011,0.07339449541284404,0.5321100917431193,109
0.9,0.007129277566539924,0.0,0.3333333333333333,15
