confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.686787072243346,0.11903114186851212,0.3190311418685121,1445
0.3,0.4529467680608365,0.1385099685204617,0.35362014690451204,953
0.4,0.30846007604562736,0.14329738058551617,0.38058551617873654,649
0.5,0.21435361216730037,0.1419068736141907,0.3991130820399113,451
0.6,0.14591254752851712,0.15309446254071662,0.41042345276872966,307
0.7,0.09885931558935361,0.13942307692307693,0.40384615384615385,208
0.8,0.05750950570342205,0.09917355371900827,0.39669421487603307,121
0.9,0.021863117870722433,0.08695652173913043,0.43478260869565216,46
