confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.44914448669201523,0.15661375661375662,0.44126984126984126,945
0.3,0.32129277566539927,0.16124260355029585,0.47781065088757396,676
0.4,0.25190114068441066,0.17169811320754716,0.5150943396226415,530
0.5,0.20152091254752852,0.1650943396226415,0.5330188679245284,424
0.6,0.17110266159695817,0.16111111111111112,0.5472222222222223,360
0.7,0.14543726235741444,0.14705882352941177,0.5392156862745098,306
0.8,0.12737642585551331,0.12686567164179105,0.5298507462686567,268
0.9,0.10931558935361217,0.09130434782608696,0.5347826086956522,230
