confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples,model
0.2,0.7527173913043478,0.2454873646209386,0.516245487364621,831,V1 BiGRU
0.3,0.5253623188405797,0.2810344827586207,0.5379310344827586,580,V1 BiGRU
0.4,0.3813405797101449,0.334916864608076,0.5938242280285035,421,V1 BiGRU
0.5,0.2708333333333333,0.3478260869565217,0.6086956521739131,299,V1 BiGRU
0.6,0.1992753623188405,0.3818181818181818,0.6181818181818182,220,V1 BiGRU
0.7,0.1304347826086956,0.4513888888888889,0.6805555555555556,144,V1 BiGRU
0.8,0.0878623188405797,0.4329896907216495,0.6701030927835051,97,V1 BiGRU
0.9,0.0480072463768115,0.3396226415094339,0.6226415094339622,53,V1 BiGRU
0.2,0.5615942028985508,0.3258064516129032,0.6225806451612903,620,Light V2 BiGRU
0.3,0.3940217391304347,0.3632183908045977,0.671264367816092,435,Light V2 BiGRU
0.4,0.2998188405797101,0.3806646525679758,0.6888217522658611,331,Light V2 BiGRU
0.5,0.2327898550724637,0.3968871595330739,0.6964980544747081,257,Light V2 BiGRU
0.6,0.1775362318840579,0.4540816326530612,0.7346938775510204,196,Light V2 BiGRU
0.7,0.1277173913043478,0.4468085106382978,0.7446808510638298,141,Light V2 BiGRU
0.8,0.0932971014492753,0.4563106796116505,0.7475728155339806,103,Light V2 BiGRU
0.9,0.0661231884057971,0.3698630136986301,0.6986301369863014,73,Light V2 BiGRU
0.2,0.7681159420289855,0.2558962264150943,0.5471698113207547,848,Transformer
0.3,0.5335144927536232,0.3073005093378608,0.5942275042444821,589,Transformer
0.4,0.375,0.3502415458937198,0.6376811594202898,414,Transformer
0.5,0.2554347826086957,0.3865248226950354,0.6702127659574468,282,Transformer
0.6,0.1802536231884058,0.4472361809045226,0.7135678391959799,199,Transformer
0.7,0.1168478260869565,0.4573643410852713,0.7209302325581395,129,Transformer
0.8,0.0625,0.4492753623188406,0.6666666666666666,69,Transformer
0.9,0.0226449275362318,0.44,0.68,25,Transformer
