dataset,model,clean_samples,classes,input_shape,test_top1_accuracy,test_top3_accuracy,test_top5_accuracy,test_macro_f1,best_val_f1,best_val_top5,checkpoint_epoch,source_file
WLASL1000,BiGRU + Attention Light V2,7232,1000,"(60, 516)",0.243659420289855,0.4347826086956521,0.5108695652173914,0.1982142857142857,0.1971833333333333,0.5190217391304348,62,E:\Be_My_Ear\models\ASL\WLASL1000\bigru_attention_light_v2_wlasl1000_result_summary.csv
WLASL1000,Small Transformer Encoder,7232,1000,"(60, 516)",0.2210144927536232,0.4003623188405797,0.4891304347826087,0.1666309523809523,0.1887023809523809,0.5,59,E:\Be_My_Ear\models\ASL\WLASL1000\transformer_encoder_wlasl1000_result_summary.csv
WLASL1000,BiGRU + Temporal Attention,7232,1000,"(60, 516)",0.2080357142857143,0.3883928571428571,0.4633928571428571,0.1673714285714285,0.1705888888888888,0.4633928571428571,42,E:\Be_My_Ear\models\ASL\WLASL1000\bigru_attention_wlasl1000_result_summary.csv
