confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.7527173913043478,0.24548736462093862,0.516245487364621,831
0.3,0.5253623188405797,0.2810344827586207,0.5379310344827586,580
0.4,0.3813405797101449,0.334916864608076,0.5938242280285035,421
0.5,0.2708333333333333,0.34782608695652173,0.6086956521739131,299
0.6,0.19927536231884058,0.38181818181818183,0.6181818181818182,220
0.7,0.13043478260869565,0.4513888888888889,0.6805555555555556,144
0.8,0.08786231884057971,0.4329896907216495,0.6701030927835051,97
0.9,0.04800724637681159,0.33962264150943394,0.6226415094339622,53
