confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.5615942028985508,0.3258064516129032,0.6225806451612903,620
0.3,0.39402173913043476,0.3632183908045977,0.671264367816092,435
0.4,0.29981884057971014,0.3806646525679758,0.6888217522658611,331
0.5,0.23278985507246377,0.3968871595330739,0.6964980544747081,257
0.6,0.17753623188405798,0.45408163265306123,0.7346938775510204,196
0.7,0.12771739130434784,0.44680851063829785,0.7446808510638298,141
0.8,0.09329710144927536,0.4563106796116505,0.7475728155339806,103
0.9,0.0661231884057971,0.3698630136986301,0.6986301369863014,73
