label_id,gloss,test_samples,top1_accuracy,top3_accuracy,top5_accuracy
166,certificate,1,0.0,0.0,0.0
167,chain,1,0.0,1.0,1.0
168,chair,1,1.0,1.0,1.0
169,challenge,1,0.0,1.0,1.0
170,champion,2,0.0,0.5,0.5
171,chance,1,0.0,0.0,0.0
172,change,2,0.0,0.5,0.5
173,character,1,0.0,1.0,1.0
174,chase,1,0.0,1.0,1.0
175,chat,1,0.0,1.0,1.0
176,cheap,1,1.0,1.0,1.0
177,cheat,2,0.0,0.5,0.5
178,check,2,0.0,1.0,1.0
179,cheese,1,0.0,1.0,1.0
180,chicken,1,0.0,0.0,0.0
181,child,1,0.0,1.0,1.0
182,children,1,0.0,0.0,1.0
183,chocolate,1,0.0,0.0,0.0
184,choice,1,1.0,1.0,1.0
185,choose,1,0.0,0.0,0.0
186,christmas,1,1.0,1.0,1.0
187,church,1,0.0,0.0,0.0
188,city,1,0.0,1.0,1.0
189,class,1,0.0,1.0,1.0
190,classroom,1,0.0,0.0,0.0
191,clean,1,0.0,0.0,1.0
192,clear,1,1.0,1.0,1.0
193,climb,1,0.0,0.0,0.0
194,clock,1,1.0,1.0,1.0
195,close,1,0.0,1.0,1.0
196,clothes,1,0.0,1.0,1.0
197,cloud,1,0.0,1.0,1.0
198,coffee,1,0.0,1.0,1.0
199,cold,2,0.5,0.5,0.5
200,college,1,0.0,1.0,1.0
201,color,1,0.0,0.0,0.0
202,comb,1,0.0,0.0,1.0
203,comfortable,1,0.0,0.0,0.0
204,command,1,1.0,1.0,1.0
205,community,1,0.0,0.0,0.0
206,compare,1,1.0,1.0,1.0
207,complain,1,0.0,1.0,1.0
208,complex,1,1.0,1.0,1.0
209,compromise,1,0.0,0.0,1.0
210,computer,2,0.5,0.5,0.5
211,conflict,1,0.0,0.0,0.0
212,contact,1,0.0,0.0,0.0
213,continue,1,0.0,1.0,1.0
214,contribute,1,0.0,0.0,1.0
215,convince,2,0.0,0.0,0.0
216,cook,1,0.0,0.0,1.0
217,cookie,1,0.0,0.0,0.0
218,cool,2,0.0,0.0,0.0
219,cop,1,0.0,1.0,1.0
220,copy,1,1.0,1.0,1.0
221,corn,2,0.0,0.0,0.0
222,corner,1,0.0,0.0,0.0
223,correct,1,0.0,0.0,0.0
224,cost,1,0.0,0.0,0.0
225,couch,1,0.0,0.0,0.0
226,cough,1,0.0,0.0,0.0
227,country,1,1.0,1.0,1.0
228,cousin,2,0.0,0.5,0.5
229,cover,1,0.0,0.0,0.0
230,cow,1,0.0,0.0,1.0
231,cracker,1,0.0,1.0,1.0
232,crash,1,0.0,0.0,0.0
233,crazy,1,0.0,0.0,0.0
234,cry,2,0.0,0.0,0.0
235,cup,1,0.0,0.0,0.0
236,curious,1,1.0,1.0,1.0
237,curriculum,1,1.0,1.0,1.0
238,curse,1,0.0,0.0,0.0
239,cut,1,0.0,0.0,0.0
240,cute,1,0.0,1.0,1.0
241,dad,1,1.0,1.0,1.0
242,dance,1,0.0,1.0,1.0
243,dark,2,1.0,1.0,1.0
244,daughter,2,1.0,1.0,1.0
245,day,1,1.0,1.0,1.0
246,dead,1,0.0,0.0,0.0
247,deaf,2,0.0,0.0,0.0
248,decide,1,0.0,0.0,0.0
249,decorate,1,0.0,0.0,0.0
250,deep,1,0.0,0.0,0.0
251,deer,1,1.0,1.0,1.0
252,delay,2,0.5,1.0,1.0
253,delicious,2,0.0,0.0,0.0
254,demand,1,1.0,1.0,1.0
255,dentist,1,0.0,0.0,0.0
256,deny,1,0.0,0.0,1.0
257,deodorant,1,0.0,0.0,0.0
258,depend,1,0.0,0.0,0.0
259,describe,1,0.0,1.0,1.0
260,desert,1,1.0,1.0,1.0
261,desk,1,0.0,1.0,1.0
262,dessert,1,0.0,0.0,0.0
263,destroy,1,0.0,1.0,1.0
264,develop,1,0.0,0.0,0.0
265,diamond,1,0.0,1.0,1.0
266,diaper,1,1.0,1.0,1.0
267,diarrhea,1,0.0,0.0,0.0
268,dictionary,1,0.0,0.0,0.0
269,different,1,0.0,1.0,1.0
270,dirty,1,1.0,1.0,1.0
271,disagree,1,0.0,0.0,1.0
272,disappear,1,0.0,0.0,1.0
273,discuss,1,0.0,0.0,0.0
274,dissolve,1,0.0,0.0,1.0
275,dive,1,0.0,0.0,0.0
276,divide,1,0.0,0.0,0.0
277,divorce,1,1.0,1.0,1.0
278,doctor,2,0.5,0.5,0.5
279,dog,2,0.0,0.0,0.0
280,doll,1,0.0,0.0,0.0
281,dollar,1,0.0,0.0,1.0
282,dolphin,1,0.0,0.0,0.0
283,door,1,1.0,1.0,1.0
284,double,1,0.0,1.0,1.0
285,doubt,1,0.0,0.0,0.0
286,down,1,1.0,1.0,1.0
287,draw,1,0.0,0.0,0.0
288,drawer,1,0.0,0.0,0.0
289,dream,1,0.0,0.0,0.0
290,dress,1,0.0,0.0,0.0
291,drink,2,0.5,0.5,0.5
292,drive,1,1.0,1.0,1.0
293,drop,1,0.0,0.0,0.0
294,drunk,1,0.0,1.0,1.0
295,dry,1,1.0,1.0,1.0
296,duck,1,0.0,0.0,0.0
297,dumb,1,0.0,0.0,0.0
298,during,1,0.0,0.0,0.0
299,duty,1,0.0,0.0,0.0
300,eagle,1,0.0,0.0,1.0
301,ear,1,0.0,1.0,1.0
302,early,1,0.0,0.0,0.0
303,earn,1,0.0,1.0,1.0
304,earring,1,0.0,0.0,0.0
305,earth,1,0.0,0.0,0.0
306,earthquake,1,0.0,0.0,0.0
307,east,1,0.0,0.0,0.0
308,easter,1,1.0,1.0,1.0
309,easy,1,0.0,0.0,0.0
310,eat,1,0.0,0.0,0.0
311,egg,1,1.0,1.0,1.0
312,egypt,1,0.0,0.0,0.0
313,eight,1,0.0,0.0,0.0
314,elephant,1,1.0,1.0,1.0
315,elevator,1,0.0,0.0,1.0
316,email,1,1.0,1.0,1.0
317,embarrass,1,1.0,1.0,1.0
318,emotion,1,0.0,0.0,0.0
319,encourage,1,1.0,1.0,1.0
320,end,1,0.0,0.0,0.0
321,energy,1,0.0,0.0,0.0
322,english,1,0.0,0.0,0.0
323,enjoy,1,0.0,0.0,0.0
324,enough,1,0.0,0.0,0.0
325,enter,1,0.0,0.0,0.0
326,environment,2,0.0,0.0,0.0
327,equal,1,1.0,1.0,1.0
328,escape,1,0.0,1.0,1.0
329,europe,1,0.0,0.0,0.0
330,evaluate,1,1.0,1.0,1.0
331,event,1,0.0,0.0,0.0
332,every,1,0.0,0.0,0.0
333,evidence,1,0.0,0.0,1.0
334,exact,1,0.0,0.0,0.0
335,exaggerate,1,0.0,0.0,0.0
336,example,2,0.0,0.0,0.0
