version,model,test_top1_accuracy,test_top3_accuracy,test_top5_accuracy,test_macro_f1,best_val_f1,best_val_top5,source
V1,BiGRU + Temporal Attention,0.2080357142857143,0.3883928571428571,0.4633928571428571,0.1673714285714285,0.1705888888888888,0.4633928571428571,E:\Be_My_Ear\models\ASL\WLASL1000\bigru_attention_wlasl1000_result_summary.csv
Transformer,Small Transformer Encoder,0.2210144927536232,0.4003623188405797,0.4891304347826087,0.16663095238095235,0.18870238095238095,0.5,E:\Be_My_Ear\models\ASL\WLASL1000\transformer_encoder_wlasl1000_result_summary.csv
