confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
0.2,0.7681159420289855,0.25589622641509435,0.5471698113207547,848
0.3,0.5335144927536232,0.3073005093378608,0.5942275042444821,589
0.4,0.375,0.3502415458937198,0.6376811594202898,414
0.5,0.2554347826086957,0.38652482269503546,0.6702127659574468,282
0.6,0.1802536231884058,0.4472361809045226,0.7135678391959799,199
0.7,0.11684782608695653,0.4573643410852713,0.7209302325581395,129
0.8,0.0625,0.4492753623188406,0.6666666666666666,69
0.9,0.022644927536231884,0.44,0.68,25
