model,confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples
Light V2 BiGRU,0.5,0.2327898550724637,0.3968871595330739,0.6964980544747081,257
Transformer,0.5,0.2554347826086957,0.3865248226950354,0.6702127659574468,282
V1 BiGRU,0.5,0.2708333333333333,0.3478260869565217,0.6086956521739131,299
Transformer,0.7,0.1168478260869565,0.4573643410852713,0.7209302325581395,129
V1 BiGRU,0.7,0.1304347826086956,0.4513888888888889,0.6805555555555556,144
Light V2 BiGRU,0.7,0.1277173913043478,0.4468085106382978,0.7446808510638298,141
